date,team,total_wins,localwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-02-23T12:21:34Z,SANDBOX Gaming,38,0.409,7.7,1.628,6.477,0.2,LCK,3,0,1,0.662,2851.496,2522.387,1563,2711,0,214.485
2020-02-26T07:03:04Z,KT Rolster,43,0.467,0.4,1.603,6.493,0.2,LCK,1,1,0,0.031,2472.148,1480.021,-609,-1285,1,211.706
2020-02-26T07:03:04Z,SANDBOX Gaming,38,0.409,31,1.56,6.919,0.2,LCK,-1,0,1,0.308,2445.91,1655.118,609,1285,0,211.706
2020-02-26T08:49:10Z,KT Rolster,43,0.467,15.333,1.877,7.376,0.2,LCK,5,1,1,0.334,2096.142,1532.446,2221,2369,1,211.633
2020-02-26T08:49:10Z,SANDBOX Gaming,38,0.409,0.818,1.634,6.835,0.2,LCK,-5,0,0,0.091,2308.132,1211.939,-2221,-2369,0,211.633
2020-02-26T09:54:15Z,KT Rolster,43,0.467,17.667,1.608,6.685,0.2,LCK,4,1,1,0.577,2464.692,2350.192,3532,1299,1,211.587
2020-02-26T09:54:15Z,SANDBOX Gaming,38,0.409,0.467,1.254,6.615,0.2,LCK,-4,0,0,0.115,3058.308,1175.961,-3532,-1299,0,211.587
2020-02-26T10:34:31Z,Griffin,17,0.34,0,1.19,6.181,0.2,LCK,-2,1,0,0,2290.573,814.713,-239,-1476,1,211.559
2020-02-26T10:34:31Z,T1,65,0.677,79,1.597,6.492,0.2,LCK,2,0,1,0.407,1841.294,1592.126,239,1476,0,211.559
2020-02-26T11:58:16Z,Griffin,17,0.34,1.526,1.532,5.95,0.2,LCK,1,1,0,0.264,2655.785,2016.851,1676,303,1,211.501
2020-02-26T11:58:16Z,T1,65,0.677,8.778,1.843,5.798,0.2,LCK,-1,0,0,0.557,2765.545,2109.829,-1676,-303,0,211.501
2020-02-27T07:05:42Z,Afreeca Freecs,42,0.452,6.125,1.971,6.672,0.2,LCK,0,1,1,0.285,2357.622,1919.846,1525,345,1,210.704
2020-02-27T07:05:42Z,Gen.G,67,0.698,1.692,1.694,6.873,0.2,LCK,0,0,2,0.176,2845.216,1808.054,-1525,-345,0,210.704
