date,team,total_wins,worldwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-10-05T12:45:39Z,DRX,4,0.444,2,1.337,6.74,0.2,WCS,-1,1,0,0.28,2704.041,1927.119,3010,480,1,-252.761
2020-10-05T12:45:39Z,Top Esports,9,0.6,6.222,1.679,6.69,0.2,WCS,1,0,1,0.466,3028.788,1825.337,-3010,-480,0,-252.761
2020-10-06T07:37:32Z,G2 Esports,8,0.571,1.708,1.66,6.351,0.2,WCS,-4,1,0,0.319,3371.263,2194.543,-2452,-1635,0,-271.626
2020-10-06T07:37:32Z,Team Liquid,7,0.636,7.455,1.44,6.293,0.2,WCS,4,0,1,0.697,2833.614,2484.557,2452,1635,1,-271.626
2020-10-06T08:47:57Z,Machi Esports,1,0.167,2,1.314,6.224,0.2,WCS,1,1,0,0.269,2835.769,1541.304,-19,-1700,1,-272.799
2020-10-06T08:47:57Z,Suning,12,0.632,4.667,1.971,7.239,0.2,WCS,-1,0,2,0.418,2857.75,2159.881,19,1700,0,-272.799
2020-10-06T09:47:55Z,DRX,4,0.444,7.571,1.36,7.547,0.2,WCS,-2,0,1,0.433,2567.067,2275.7,1652,1510,1,-273.799
2020-10-06T09:47:55Z,FlyQuest,3,0.5,1.462,1.38,6.067,0.2,WCS,2,1,0,0.2,2853.667,1435.233,-1652,-1510,0,-273.799
2020-10-06T10:44:20Z,Top Esports,9,0.6,5.267,1.781,6.313,0.2,WCS,2,1,2,0.829,3420.461,2380.532,3702,2474,1,-274.739
2020-10-06T10:44:20Z,Unicorns Of Love.CIS,6,0.429,1.643,1.038,5.773,0.2,WCS,-2,0,0,0.461,3065.189,2257.155,-3702,-2474,0,-274.739
2020-10-06T11:43:09Z,Fnatic,6,0.545,6.333,1.394,7.38,0.2,WCS,2,0,0,0.611,2151.629,1424.659,2151,1480,1,-275.719
2020-10-06T11:43:09Z,Gen.G,5,0.556,1.647,1.372,6.754,0.2,WCS,-2,1,0,0.323,2507.389,1305.018,-2151,-1480,0,-275.719
2020-10-06T12:37:05Z,LGD Gaming,11,0.647,6.8,1.669,6.623,0.2,WCS,1,0,0,0.569,2529.431,1817.1,2634,2400,1,-276.618
2020-10-06T12:37:05Z,Team SoloMid,0,0,1.429,1.561,6.195,0.2,WCS,-1,1,0,0.271,2571.301,1494.878,-2634,-2400,0,-276.618
2020-10-08T07:37:03Z,G2 Esports,8,0.571,17.5,1.946,7.018,0.2,WCS,1,1,0,0.651,2577.362,1658.138,5382,2099,1,-319.618
2020-10-08T07:37:03Z,Team Liquid,7,0.636,0.421,1.192,6.23,0.2,WCS,-1,0,0,0.103,2509.275,1495.957,-5382,-2099,0,-319.618
2020-10-08T08:43:06Z,Machi Esports,1,0.167,0.864,1.274,6.097,0.2,WCS,-3,0,0,0.215,2703.292,1704.758,-2666,-3103,0,-320.718
2020-10-08T08:43:06Z,Suning,12,0.632,10.167,1.782,7.191,0.2,WCS,3,1,1,0.751,2847.084,2149.732,2666,3103,1,-320.718
2020-10-08T09:36:15Z,G2 Esports,8,0.571,5.889,1.918,6.9,0.2,WCS,-1,1,1,0.56,3033.246,2781.812,3089,-492,1,-321.604
2020-10-08T09:36:15Z,Machi Esports,1,0.167,1.647,1.384,6.273,0.2,WCS,1,0,0,0.296,3315.618,1926.491,-3089,492,0,-321.604
2020-10-08T10:36:46Z,Suning,12,0.632,0.783,1.617,7.266,0.2,WCS,-1,0,0,0.215,2929.396,2273.975,-1455,-1478,0,-322.613
2020-10-08T10:36:46Z,Team Liquid,7,0.636,12.857,1.74,6.719,0.2,WCS,1,1,1,0.707,3185.994,2195.102,1455,1478,1,-322.613
2020-10-08T11:34:39Z,Machi Esports,1,0.167,0.818,1.542,5.86,0.2,WCS,-1,0,0,0.209,3085.291,1171.116,-7174,-5204,0,-323.578
2020-10-08T11:34:39Z,Team Liquid,7,0.636,10.333,1.66,7.088,0.2,WCS,1,1,0,0.767,2706.872,2236.849,7174,5204,1,-323.578
2020-10-08T12:30:05Z,G2 Esports,8,0.571,0.706,1.375,6.856,0.2,WCS,0,1,0,0.173,3112.306,1478.689,-841,-2818,1,-324.501
2020-10-08T12:30:05Z,Suning,12,0.632,14.75,1.383,6.501,0.2,WCS,0,0,0,0.735,2409.164,2340.735,841,2818,0,-324.501
2020-10-08T13:20:26Z,G2 Esports,8,0.571,3.045,1.537,6.855,0.2,WCS,1,1,0,0.476,3454.205,2019.6,-1022,-1209,0,-325.341
2020-10-08T13:20:26Z,Suning,12,0.632,3,1.999,7.158,0.2,WCS,-1,0,4,0.499,2975.814,2642.221,1022,1209,1,-325.341
2020-10-09T07:17:02Z,DAMWON Gaming,14,0.824,12.75,1.779,7.212,0.2,WCS,0,0,1,0.475,3113.209,2221.46,1101,2768,1,-343.284
2020-10-09T07:17:02Z,PSG Talon,6,0.545,0.5,1.324,6.798,0.2,WCS,0,1,0,0.136,2966.791,2027.029,-1101,-2768,0,-343.284
2020-10-09T08:43:57Z,JD Gaming,5,0.5,6,1.435,6.829,0.2,WCS,4,1,1,0.765,3305.388,2467.524,182,77,0,-344.732
2020-10-09T08:43:57Z,Rogue,1,0.167,1.625,1.486,5.847,0.2,WCS,-4,0,0,0.414,3005.229,2155.6,-182,-77,1,-344.732
2020-10-09T09:41:59Z,DAMWON Gaming,14,0.824,7.889,1.254,6.623,0.2,WCS,4,1,1,0.926,2577.433,2375.68,5207,3744,1,-345.7
2020-10-09T09:41:59Z,Rogue,1,0.167,1.136,1.01,6.042,0.2,WCS,-4,0,0,0.337,3059.832,1241.487,-5207,-3744,0,-345.7
